inner_id,id,text,label,original movie dialogue,movie name,agreement,annotator_1,manipulative_1,technique_1,victim_1,vulnerability_1,marks_1,confidence_1,annotator_2,manipulative_2,technique_2,victim_2,vulnerability_2,marks_2,confidence_2,annotator_3,manipulative_3,technique_3,victim_3,vulnerability_3,marks_3,confidence_3,dialogue_id,category
2549,85518406,"Person1: You hurt my feelings. I ought to raise the price to be a thousand.
Person2: If I call the police, your price will go down to a minus sign.
Person1: Bluff. You've waited too long.
Person2: For five hundred, what do I get?
Person1: I go home and paint the kitchen.
Person2: For two hundred?
Person1: I stick around and wait for the five hundred.
Person2: You mentioned information.
Person1: Sorry. Another client paid for that. You can hire me not to use it.
Person2: A thousand.
Person1: Got it on you?
Person2: Got the information on you?
Person1: Get it in half an hour.",1,"GOBLE(?):You hurt my feelings. I ought to raise the price to be a thousand. 
BRANDON(M):If I call the police, your price will go down to a minus sign. 
GOBLE(?):Bluff. You've waited too long. 
BRANDON(M):For five hundred, what do I get? 
GOBLE(?):I go home and paint the kitchen. 
BRANDON(M):For two hundred? 
GOBLE(?):I stick around and wait for the five hundred. 
BRANDON(M):You mentioned information. 
GOBLE(?):Sorry. Another client paid for that. You can hire me not to use it. 
BRANDON(M):A thousand. 
GOBLE(?):Got it on you? 
BRANDON(M):Got the information on you? 
GOBLE(?):Get it in half an hour.",playback,100.0,AN14,1,Persuasion or Seduction,1,Dependency,,4,AN1,1,Persuasion or Seduction,1,Dependency,Sorry. Another client paid for that. You can hire me not to use it.,3,AN7,1,Feigning Innocence,1,Dependency,,4,0,manipulative
1700,85515008,"Person1: You gave $383 to the goddamn housekeeper! What the heck is your problem?
Person2: She needed it.
Person1: A $500 tip! For the housekeeper!
Person2: Her name's Inez. Stop calling her the housekeeper.
Person1: That's what she is!
Person2: I know that. But --
Person1: You're in love with the housekeeper!
Person2: Shut up!
Person1: What are you going to do, get married? Have a bunch of little idiot janitor brats! And go around scrubbing the --",1,"DIGNAN(m):You gave $383 to the goddamn housekeeper! What the fuck is your problem? 
ANTHONY(m):She needed it. 
DIGNAN(m):A $500 tip! For the housekeeper! 
ANTHONY(m):Her name's Inez. Stop calling her the housekeeper. 
DIGNAN(m):That's what she is! 
ANTHONY(m):I know that. But -- 
DIGNAN(m):You're in love with the fucking housekeeper! 
ANTHONY(m):Shut up! 
DIGNAN(m):What are you going to do, get married? Have a bunch of little idiot janitor brats! And go around scrubbing the --",bottle rocket,100.0,AN1,1,"Shaming or Belittlement,Brandishing Anger,Accusation",1,Low self-esteem,"You gave $383 to the goddamn housekeeper! What the heck is your problem? <break> You're in love with the housekeeper! <break> What are you going to do, get married?",5,AN6,1,"Shaming or Belittlement,Brandishing Anger",0,,"What are you going to do, get married? Have a bunch of little idiot janitor brats! And go around scrubbing the <break> You gave $383 to the goddamn housekeeper! What the heck is your problem?",5,AN11,1,Shaming or Belittlement,1,cannot decide,"You gave $383 to the goddamn housekeeper! What the heck is your problem? <break> What are you going to do, get married? Have a bunch of little idiot janitor brats! And go around scrubbing the --",4,1,manipulative
2103,85518979,"Person1: What?... Oh suck my dick!
Person2: What?
Person1: These assholes are saying that I have to go to Summer school and take some stupid art class!
Person2: Why?
Person1: Remember that stupid hippie art teacher who failed me sophomore year? I didn't think that just because you get an ""F"" that means you have to take the class over again.
Person2: You loser.",1,"ENID(f):What?... Oh suck my fucking dick! 
REBECCA(f):What? 
ENID(f):These assholes are saying that I have to go to Summer school and take some stupid art class! 
REBECCA(f):Why? 
ENID(f):Remember that stupid hippie art teacher who failed me sophomore year? I didn't think that just because you get an ""F"" that means you have to take the class over again. 
REBECCA(f):You loser.",ghost world,100.0,AN7,1,Brandishing Anger,0,,,4,AN1,1,"Shaming or Belittlement,Brandishing Anger",0,,These assholes are saying that I have to go to Summer school and take some stupid art class! <break> What?... Oh suck my dick!,4,AN9,1,Shaming or Belittlement,1,cannot decide,,3,2,manipulative
3403,85514933,"Person1: No, I didn't think she was. Let me get the picture here. Let me guess. She was an absolutely clean girl, a model daughter, she never had rebellious or impure thoughts, she didn't mess around...
Person2: If I was you, Mr. Mast, I'd watch my language.
Person1: Hey, I'm a private detective, Van Dorn, you want to hire a choir boy you can go back to Grand Rapids. I've been to that scumbag town. It's full of them.
Person2: Who's paying you?
Person1: You are.
Person2: That's right.
Person1: As I was saying, I'll pick up the thread. There's a number of ways I can go. There's not much you can do here. Stay if you want. Maybe it'd be better if you went back home. Go through Kristen's personal stuff. Ask around, maybe she knew somebody out here.  Look, I do this a lot. I work at a minimum rate of $750.00 a week. It may seem like a lot of money to you, but it ain't. You could hire cheaper.
Person2: And better?
Person1: I suppose. But I'll tell you, Jake, I'm like a little animal. When I get my teeth into something I never let go. If your daughter's here, I'll track her down.",1,"MAST(m):No, I didn't think she was. Let me get the picture here. Let me guess. She was an absolutely clean girl, a model daughter, she never had rebellious or impure thoughts, she didn't fuck around... 
JAKE(m):If I was you, Mr. Mast, I'd watch my language. 
MAST(m):Hey, I'm a private detective, Van Dorn, you want to hire a choir boy you can go back to Grand Rapids. I've been to that scumbag town. It's full of them. 
JAKE(m):Who's paying you? 
MAST(m):You are. 
JAKE(m):That's right. 
MAST(m):As I was saying, I'll pick up the thread. There's a number of ways I can go. There's not much you can do here. Stay if you want. Maybe it'd be better if you went back home. Go through Kristen's personal stuff. Ask around, maybe she knew somebody out here.  Look, I do this a lot. I work at a minimum rate of $750.00 a week. It may seem like a lot of money to you, but it ain't. You could hire cheaper. 
JAKE(m):And better? 
MAST(m):I suppose. But I'll tell you, Jake, I'm like a little animal. When I get my teeth into something I never let go. If your daughter's here, I'll track her down.",hardcore,100.0,AN1,1,Shaming or Belittlement,1,Dependency," Let me guess. She was an absolutely clean girl, a model daughter, she never had rebellious or impure thoughts, she didn't mess around... <break> you want to hire a choir boy you can go back to Grand Rapids.",5,AN7,1,"Accusation,Persuasion or Seduction",0,,,4,AN11,1,"Shaming or Belittlement,Intimidation,Persuasion or Seduction",1,Dependency,"Hey, I'm a private detective, Van Dorn, you want to hire a choir boy you can go back to Grand Rapids. I've been to that scumbag town. It's full of them. <break> There's a number of ways I can go. There's not much you can do here. <break> But I'll tell you, Jake, I'm like a little animal. When I get my teeth into something I never let go. If your daughter's here, I'll track her down.",4,3,manipulative
3155,85515576,"Person1: Let me worry about that, Major. I've still got my red line to the Air Command.
Person2: That's right, sir.
Person1: We don't want to be vulnerable to saboteurs calling up and pretending to be different people from the President down, do we?
Person2: You're right, sir.
Person1: No calls from inside out.  No calls from outside in are even answered.  No calls.
Person2: I understand, sir.  Nothing comes or goes without your personal say-so.
Person1: No calls at all.  With or without my say-so. My voice can be imitated too, Major.
Person2: Yes, sir.  I just thought of something, sir.  How do I know I'm talking to you now?
Person1: Who do you think you're talking to?
Person2: To you, sir.  But how do I know?
Person1: Are you trying to be insubordinate?
Person2: No, sir.
Person1: I hope not.  Now, as soon as you do what I told you, have Plan-R radioed to the Wing.
Person2: Plan-R????
Person1: Are you hard of hearing, Major?
Person2: No, sir.  Plan-R to be radioed to the Wing.
Person1: As soon as you've done that, shut down the communications center.  Lock it up and assign the personnel to base security details.
Person2: General Ripper, if I shut down the communi- cations center, there'll be no radio or teleprinter contact with Air Command head- quarters or anyone, for that matter.
Person1: Are you questioning my orders, Major?
Person2: No, sir.  I'm just bringing the facts to your attention, sir.
Person1: You're a good officer, Major, and you're perfectly right to bring these facts to my attention.
Person2: Thank you, sir.
Person1: Now, as soon as you've done that, double- up on all base security teams.  Our enemies are plenty smart, and there might even be an attack on the base by saboteurs.
Person2: Yes, sir.
Person1: And lastly, all privately owned radios are to be immediately impounded.  They can be used to issue instructions to saboteurs. Air Police will have lists of all owners.",1,"GENERAL JACK D. RIPPER(m):Let me worry about that, Major. I've still got my red line to the Air Command. 
MAJOR MANDRAKE(M):That's right, sir. 
GENERAL JACK D. RIPPER(m):We don't want to be vulnerable to saboteurs calling up and pretending to be different people from the President down, do we? 
MAJOR MANDRAKE(M):You're right, sir. 
GENERAL JACK D. RIPPER(m):No calls from inside out.  No calls from outside in are even answered.  No calls. 
MAJOR MANDRAKE(M):I understand, sir.  Nothing comes or goes without your personal say-so. 
GENERAL JACK D. RIPPER(m):No calls at all.  With or without my say-so. My voice can be imitated too, Major. 
MAJOR MANDRAKE(M):Yes, sir.  I just thought of something, sir.  How do I know I'm talking to you now? 
GENERAL JACK D. RIPPER(m):Who do you think you're talking to? 
MAJOR MANDRAKE(M):To you, sir.  But how do I know? 
GENERAL JACK D. RIPPER(m):Are you trying to be insubordinate? 
MAJOR MANDRAKE(M):No, sir. 
GENERAL JACK D. RIPPER(m):I hope not.  Now, as soon as you do what I told you, have Plan-R radioed to the Wing. 
MAJOR MANDRAKE(M):Plan-R???? 
GENERAL JACK D. RIPPER(m):Are you hard of hearing, Major? 
MAJOR MANDRAKE(M):No, sir.  Plan-R to be radioed to the Wing. 
GENERAL JACK D. RIPPER(m):As soon as you've done that, shut down the communications center.  Lock it up and assign the personnel to base security details. 
MAJOR MANDRAKE(M):General Ripper, if I shut down the communi- cations center, there'll be no radio or teleprinter contact with Air Command head- quarters or anyone, for that matter. 
GENERAL JACK D. RIPPER(m):Are you questioning my orders, Major? 
MAJOR MANDRAKE(M):No, sir.  I'm just bringing the facts to your attention, sir. 
GENERAL JACK D. RIPPER(m):You're a good officer, Major, and you're perfectly right to bring these facts to my attention. 
MAJOR MANDRAKE(M):Thank you, sir. 
GENERAL JACK D. RIPPER(m):Now, as soon as you've done that, double- up on all base security teams.  Our enemies are plenty smart, and there might even be an attack on the base by saboteurs. 
MAJOR MANDRAKE(M):Yes, sir. 
GENERAL JACK D. RIPPER(m):And lastly, all privately owned radios are to be immediately impounded.  They can be used to issue instructions to saboteurs. Air Police will have lists of all owners.",dr. strangelove or: how i learned to stop worrying and love the bomb,100.0,AN12,1,"Playing Servant Role,Accusation",1,Over-intellectualization,"Are you questioning my orders, Major? <break> We don't want to be vulnerable to saboteurs calling up and pretending to be different people from the President down, do we?",5,AN1,1,Intimidation,1,Low self-esteem,"Are you trying to be insubordinate? <break> Are you questioning my orders, Major?",4,AN10,1,"Playing Servant Role,Intimidation,Accusation",1,"Over-responsibility,Low self-esteem","e don't want to be vulnerable to saboteurs calling up and pretending to be different people from the President down, do we? <break> Are you trying to be insubordinate? <break> Are you hard of hearing, Major? <break> Are you questioning my orders, Major?",3,4,manipulative
2560,85519065,"Person1: Christ, Jon!  How could you do this to yourself? How could you do this to us?  Do you know -- do you know what he did to me ...?
Person2: Whatever happened, whatever he did -- I know it's my fault and I know I can never make it up to you --",1,"EVE(f):Christ, Jon!  How could you do this to yourself? How could you do this to us?  Do you know -- do you know what he did to me ...? 
ARCHER(m):Whatever happened, whatever he did -- I know it's my fault and I know I can never make it up to you --",face/off,100.0,AN1,1,Accusation,1,"Dependency,Over-responsibility",How could you do this to yourself? How could you do this to us? Do you know -- do you know what he did to me ...?,4,AN7,1,Brandishing Anger,0,,,3,AN9,1,Evasion,1,Naivete,"Whatever happened, whatever he did -- I know it's my fault and I know I can never make it up to you ",2,5,manipulative
3521,85515127,"Person1: ...and her heart stopped and she wasn't getting oxygen.
Person2: That's right.
Person1: And what did your team do...
Person2: Well, we...
Person1: ...You brought thirty years of medical experience to bear.  Isn't that what you did?
Person2: Yes.
Person1: ...A patient riddled with complications, questionable information on her, on her admitting form...
Person2: ...We did everything we could...
Person1: ...to save her and to save the baby.  Is that...
Person2: Yes!
Person1: You reached down into death.  Now, isn't that right?
Person2: My God, we tried to save her...You can't know...You can't know...
Person1: Tell us.",1,"CONCANNON(m):...and her heart stopped and she wasn't getting oxygen. 
DR. TOWLER(m):That's right. 
CONCANNON(m):And what did your team do... 
DR. TOWLER(m):Well, we... 
CONCANNON(m):...You brought thirty years of medical experience to bear. Isn't that what you did? 
DR. TOWLER(m):Yes. 
CONCANNON(m):...A patient riddled with complications, questionable information on her, on her admitting form... 
DR. TOWLER(m):...We did everything we could... 
CONCANNON(m):...to save her and to save the baby. Is that... 
DR. TOWLER(m):Yes! 
CONCANNON(m):You reached down into death. Now, isn't that right? 
DR. TOWLER(m):My God, we tried to save her... You can't know... You can't know... 
CONCANNON(m):Tell us.",the verdict,100.0,AN1,1,Shaming or Belittlement,1,Over-responsibility,"You brought thirty years of medical experience to bear. Isn't that what you did? <break> You reached down into death. Now, isn't that right?",4,AN11,1,Accusation,1,Over-responsibility,,2,AN17,1,Shaming or Belittlement,1,"Over-responsibility,Low self-esteem","You reached down into death. Now, isn't that right?",4,6,manipulative
258,85516142,"Person1: We ran out without my shoes and the floor.  I gotta get my stuff.  What about our savings?
Person2: Are you crazy?  The joint is crawling with cops now.  You wanna go to Rikers?  Go to the hoosegow?",1,"MANRAY(?):We ran out without my shoes and the floor.  I gotta get my stuff.  What about our savings? 
CHEEBA(?):Are you crazy?  The joint is crawling with cops now.  You wanna go to Rikers?  Go to the hoosegow?",bamboozled,33.33333333333333,AN15,1,"Denial,Evasion,Intimidation",1,"Dependency,Over-intellectualization",,4,AN2,0,,0,,,5,AN1,1,"Shaming or Belittlement,Intimidation",1,"Dependency,Over-intellectualization",Are you crazy? The joint is crawling with cops now. You wanna go to Rikers? Go to the hoosegow?,5,7,manipulative
1636,85514536,"Person1: I swear to God Charlie...my arm still hurts from the car accident...that's why I didn't go to work.  I swear it.
Person2: That's not going to help.
Person1: I'm going to work this week...I mean it.
Person2: It's impossible for you to catch up on the loan now...the interest is going up...$3,000...do you realize that, flash?
Person1: I'm sorry Charlie...I didn't mean it.
Person2: Big deal...in the meantime, it's done...I'll still try to help you out...You know that...but you gotta show some effort...some respect... understand?
Person1: Charlie, you know the best way to take care of this whole mess.
Person2: How?
Person1: If you had a little talk with your uncle...if anybody can do it, he can.
Person2: That'll help you out fine.  That's the best way for you, not for me! I swear to God, I'll rip you open if my uncle ever hears a word about this.  You understand?  I don't care what happens, he doesn't find out.",1,"JOHNNY BOY(m):I swear to God Charlie...my arm still hurts from the car accident...that's why I didn't go to work.  I swear it. 
CHARLIE(m):That's not going to help. 
JOHNNY BOY(m):I'm going to work this week...I mean it. 
CHARLIE(m):It's impossible for you to catch up on the loan now...the interest is going up...$3,000...do you realize that, flash? 
JOHNNY BOY(m):I'm sorry Charlie...I didn't mean it. 
CHARLIE(m):Big deal...in the meantime, it's done...I'll still try to help you out...You know that...but you gotta show some effort...some respect... understand? 
JOHNNY BOY(m):Charlie, you know the best way to take care of this whole mess. 
CHARLIE(m):How? 
JOHNNY BOY(m):If you had a little talk with your uncle...if anybody can do it, he can. 
CHARLIE(m):That'll help you out fine.  That's the best way for you, not for me! I swear to God, I'll rip you open if my uncle ever hears a word about this.  You understand?  I don't care what happens, he doesn't find out.",halloween iii: season of the witch,100.0,AN1,1,"Shaming or Belittlement,Intimidation,Brandishing Anger",1,"Over-responsibility,Over-intellectualization","That's the best way for you, not for me! I swear to God, I'll rip you open if my uncle ever hears a word about this. You understand? I don't care what happens, he doesn't find out. <break> You know that...but you gotta show some effort <break> It's impossible for you to catch up on the loan now...the interest is going up...$3,000...do you realize that, flash?",5,AN11,1,Brandishing Anger,1,Dependency,"I swear to God, I'll rip you open if my uncle ever hears a word about this.",4,AN15,1,"Rationalization,Playing Victim Role,Intimidation",1,"Dependency,Low self-esteem",,4,8,manipulative
272,85515810,"Person1: Yes, but no one is in control of their emotions.  that's all we have time for today...
Person2: I don't understand.
Person1: You said that you have ""decided."" That your... your feelings of persecution, as you put it are a ""self-indulgence,"" and you are going to put them aside.  And get on with your job.
Person2: That's right.
Person1: And you have decided to accept... to accept this ""emotion,"" as you put it, to the ... the ""sweepings. of the Lechter case.
Person2: Yes.
Person1: And you've decided to get married.  You've decided a lot of things.  But, in spite of your decisions--you are still ""nagged"" by feelings of despair, of failure of... you still have the nightmare, you...
Person2: What is your point?
Person1: That if decision were a useful tool, you wouldn't be here.  Why are you here...?
Person2: I..
Person1: ...yes...?
Person2: I want to do something positive...
Person1: You want some advice.
Person2: Yes.
Person1: Your life has been defined by institutions.  The Orphanage where you were raised, the FBI Academy, the Bureau.  If the Institution is your life, accept it.  Ask to be reinstated on the ""Drumgo"" task force.  Play their game.
Person2: ...why?
Person1: Because it's the game you've chosen. That's really all we have time for.",1,"PSYCHIATRIST(?):Yes, but no one is in control of their emotions.  that's all we have time for today... 
STARLING(f):I don't understand. 
PSYCHIATRIST(?):You said:  that you have ""decided."" That your... your feelings of persecution, as you put it are a ""self- indulgence,"" and you are going to put them aside.  And get on with your job. 
STARLING(f):That's right. 
PSYCHIATRIST(?):And you have decided to accept... to accept this ""emotion,"" as you put it, to the ... the ""sweepings. of the Lechter case. 
STARLING(f):Yes. 
PSYCHIATRIST(?):And you've decided to get <u>married</u>.  You've decided a <u>lot</u> of things.  But, in spite of your decisions--you are still ""nagged"" by feelings of:  <u>despair</u>, of <u>failure</u> of... you still have the <u>nightmare</u>, you... 
STARLING(f):What is your point? 
PSYCHIATRIST(?):That if <u>decision</u> were a useful tool, you wouldn't <u>be</u> here.  Why are you here...? 
STARLING(f):I.. 
PSYCHIATRIST(?):...yes...? 
STARLING(f):I want to do something <u>positive</u>... 
PSYCHIATRIST(?):You want some <u>advice</u>. 
STARLING(f):Yes. 
PSYCHIATRIST(?):Your life has been defined by institutions.  The Orphanage where you were raised, the FBI Academy, the Bureau.  If the Institution is your life, <u>accept</u> it.  Ask to be reinstated on the ""Drumgo"" task force.  Play their game. 
STARLING(f):...why? 
PSYCHIATRIST(?):Because it's the game you've chosen. That's really all we have time for.",hannibal,100.0,AN1,1,"Accusation,Persuasion or Seduction",1,"Over-intellectualization,Low self-esteem","And you've decided to get married. You've decided a lot of things. But, in spite of your decisions--you are still ""nagged"" by feelings of despair, of failure of... you still have the nightmare, you... <break> That if decision were a useful tool, you wouldn't be here. Why are you here...?",5,AN12,1,Accusation,0,,And you've decided to get married. You've decided a lot of things. <break> Because it's the game you've chosen. ,3,AN6,1,"Accusation,Persuasion or Seduction",0,,,3,9,manipulative
3732,85517121,"Person1: Do you mind if I smoke, Mr. Garrison?
Person2: How could I?  Dave, as you know, President Kennedy was assassinated on Friday.  A man named Lee Harvey Oswald was arrested as a suspect and then was murdered yesterday by a man named Jack Ruby.  We've heard reports that Oswald spent the summer in New Orleans and we've been advised you knew Oswald pretty well.
Person1: That's not true.  I never met anybody named Oswald.  Anybody who told you that has to be crazy.
Person2: But you are aware, he served in your Civil Air Patrol unit when he was a teenager.
Person1: No... if he did, I don't remember him.  There were lots of kids in and out... y'know.
Person2: I'm sure you've seen this.  Perhaps you knew this man under another name?
Person1: No, I never saw him before in my life.
Person2: Well that must've been mistaken information we got.  Thanks for straightening it out for us.  There is one other matter that's come up, Dave.  We were told you took a trip to Texas shortly after the assassination of Friday.
Person1: Yeah, now that's true.  I drove to Houston.
Person2: What was so appealing about Houston?
Person1: I hadn't been there ice skating in many years, and I had a couple of young friends with me, and we decided we wanted to go ice skating.
Person2: Dave, may I ask why the urge to go ice skating in Texas happened to strike you during one of the most violent thunderstorms in recent memory?
Person1: Oh, it was just a spur of the moment thing...  the storm wasn't that bad.
Person2: I see.  And where did you drive?
Person1: We went straight to Houston, and then Saturday night we drove to Galveston and stayed over there.
Person2: Why Galveston?
Person1: No particular reason.  Just to go somewhere.
Person2: And then Sunday?
Person1: In the morning we went goose hunting. Then headed home, but I dropped the boys off to see some relatives and I stayed in Hammond.
Person2: Did you bag any geese on this trip?
Person1: I believe the boys got a couple.
Person2: But the boys told us they didn't get any.
Person1: Oh yes, well, come to think of it, they're right.  We got to where the geese were and there were thousands of them.  But you couldn't approach them.  They were a wise bunch of birds.
Person2: Your young friends also told us you had no weapons in the car.  Dave, isn't it a bit difficult to hunt for geese without a shotgun?
Person1: Yes, now I remember, Mr. Garrison. I'm sorry, I got confused.  We got out there near the geese and it was only then we realized we'd forgotten our shotguns.  Stupid, right?  So of course we didn't get any geese.
Person2: I see.  Dave thank you for your time.  I'm sorry it has to end inconveniently for you, but I'm going to have you detained for further questioning by the FBI.
Person1: Why?  What's wrong?
Person2: Dave, I find your story simply not believable.",1,"FERRIE(m):Do you mind if I smoke, Mr. Garrison? 
JIM(m):How could I?  Dave, as you know, President Kennedy was assassinated on Friday.  A man named Lee Harvey Oswald was arrested as a suspect and then was murdered yesterday by a man named Jack Ruby.  We've heard reports that Oswald spent the summer in New Orleans and we've been advised you knew Oswald pretty well. 
FERRIE(m):That's not true.  I never met anybody named Oswald.  Anybody who told you that has to be crazy. 
JIM(m):But you are aware, he served in your Civil Air Patrol unit when he was a teenager. 
FERRIE(m):No... if he did, I don't remember him.  There were lots of kids in and out... y'know. 
JIM(m):I'm sure you've seen this.  Perhaps you knew this man under another name? 
FERRIE(m):No, I never saw him before in my life. 
JIM(m):Well that must've been mistaken information we got.  Thanks for straightening it out for us.  There is one other matter that's come up, Dave.  We were told you took a trip to Texas shortly after the assassination of Friday. 
FERRIE(m):Yeah, now that's true.  I drove to Houston. 
JIM(m):What was so appealing about Houston? 
FERRIE(m):I hadn't been there ice skating in many years, and I had a couple of young friends with me, and we decided we wanted to go ice skating. 
JIM(m):Dave, may I ask why the urge to go ice skating in Texas happened to strike you during one of the most violent thunderstorms in recent memory? 
FERRIE(m):Oh, it was just a spur of the moment thing...  the storm wasn't that bad. 
JIM(m):I see.  And where did you drive? 
FERRIE(m):We went straight to Houston, and then Saturday night we drove to Galveston and stayed over there. 
JIM(m):Why Galveston? 
FERRIE(m):No particular reason.  Just to go somewhere. 
JIM(m):And then Sunday? 
FERRIE(m):In the morning we went goose hunting. Then headed home, but I dropped the boys off to see some relatives and I stayed in Hammond. 
JIM(m):Did you bag any geese on this trip? 
FERRIE(m):I believe the boys got a couple. 
JIM(m):But the boys told us they didn't get any. 
FERRIE(m):Oh yes, well, come to think of it, they're right.  We got to where the geese were and there were thousands of them.  But you couldn't approach them.  They were a wise bunch of birds. 
